modelo,sinmodificar,logaritmo,estandar,mejor_performance
LinearRegression,0.361233938409,0.468568179475,0.361236244913,logaritmo
KNNRegressor,0.692980959585,0.768533585155,0.601734313572,logaritmo
Ridge,0.36123393096,0.468568149133,0.361233919499,logaritmo
Lasso,0.361233914801,0.378445924746,-1.79817439336e-05,logaritmo
MLPRegressor,0.387305032818,-281.162411234,0.411350054885,estandar
DecisionTree,0.560428490322,0.673522467479,0.557427959501,logaritmo
ExtraTree,0.487954050104,0.635222297835,0.479507196971,logaritmo
XGBoost,0.681062788231,0.770385120383,0.682303051185,logaritmo
RandomForest,0.759886274403,0.823349892798,0.75902058332,logaritmo
AdaBoost,0.189560747143,0.557911907158,-0.0538533682107,logaritmo
GradientBoost,0.679205209062,0.769624885582,0.682424385537,logaritmo
Bagging,0.761594866124,0.823605107711,0.762132090127,logaritmo
